var,date_start,date_end,psi,taub
airplane__2_cnt_6m,2019-03-01,2019-04-01,inf,
airplane__2_cnt_1m,2019-03-01,2019-04-01,inf,
airplane__1_cnt_6m,2019-03-01,2019-04-01,0.0,
airplane__1_cnt_1m,2019-03-01,2019-04-01,inf,
yys__20_cnt_6m,2019-03-01,2019-04-01,0.0,
yys__20_cnt_1m,2019-03-01,2019-04-01,inf,
yys__20_amount_sum_6m,2019-03-01,2019-04-01,inf,
yys__20_amount_sum_1m,2019-03-01,2019-04-01,inf,
yys__20_amount_cnt_6m,2019-03-01,2019-04-01,0.0,
yys__20_amount_cnt_1m,2019-03-01,2019-04-01,inf,
yys__1_cnt_6m,2019-03-01,2019-04-01,0.0,
yys__1_cnt_1m,2019-03-01,2019-04-01,inf,
yys__16_cnt_6m,2019-03-01,2019-04-01,0.0,
yys__16_cnt_1m,2019-03-01,2019-04-01,inf,
yys__16_amount_sum_6m,2019-03-01,2019-04-01,inf,
yys__16_amount_sum_1m,2019-03-01,2019-04-01,inf,
yys__16_amount_cnt_6m,2019-03-01,2019-04-01,0.0,
yys__16_amount_cnt_1m,2019-03-01,2019-04-01,inf,
yys__15_cnt_6m,2019-03-01,2019-04-01,0.0,
yys__15_cnt_1m,2019-03-01,2019-04-01,0.0,
yys__15_amount_sum_6m,2019-03-01,2019-04-01,inf,
yys__15_amount_sum_1m,2019-03-01,2019-04-01,inf,
yys__15_amount_max_6m,2019-03-01,2019-04-01,inf,
yys__15_amount_max_1m,2019-03-01,2019-04-01,inf,
yys__15_amount_cnt_6m,2019-03-01,2019-04-01,0.0,
yys__15_amount_cnt_1m,2019-03-01,2019-04-01,0.0,
yi_bao__1_cnt_1m,2019-03-01,2019-04-01,inf,
yi_bao__17_cnt_1m,2019-03-01,2019-04-01,inf,
yi_bao__15_cnt_1m,2019-03-01,2019-04-01,inf,
train__7_cnt_6m,2019-03-01,2019-04-01,inf,
train__7_cnt_1m,2019-03-01,2019-04-01,inf,
train__7_amount_sum_6m,2019-03-01,2019-04-01,inf,
train__7_amount_sum_1m,2019-03-01,2019-04-01,0.0,
train__7_amount_cnt_6m,2019-03-01,2019-04-01,inf,
train__7_amount_cnt_1m,2019-03-01,2019-04-01,inf,
train__6_cnt_6m,2019-03-01,2019-04-01,inf,
train__6_cnt_1m,2019-03-01,2019-04-01,inf,
train__6_amount_sum_6m,2019-03-01,2019-04-01,inf,
train__6_amount_sum_1m,2019-03-01,2019-04-01,0.0,
train__6_amount_cnt_6m,2019-03-01,2019-04-01,inf,
train__6_amount_cnt_1m,2019-03-01,2019-04-01,inf,
train__5_cnt_6m,2019-03-01,2019-04-01,inf,
train__5_cnt_1m,2019-03-01,2019-04-01,inf,
train__1_cnt_6m,2019-03-01,2019-04-01,inf,
train__1_cnt_1m,2019-03-01,2019-04-01,inf,
tourism__7_cnt_6m,2019-03-01,2019-04-01,inf,
tourism__7_cnt_1m,2019-03-01,2019-04-01,inf,
tourism__6_cnt_6m,2019-03-01,2019-04-01,0.0,
tourism__6_cnt_1m,2019-03-01,2019-04-01,inf,
tourism__1_cnt_6m,2019-03-01,2019-04-01,0.0,
tourism__1_cnt_1m,2019-03-01,2019-04-01,inf,
taxi__8_cnt_6m,2019-03-01,2019-04-01,inf,
taxi__8_cnt_1m,2019-03-01,2019-04-01,inf,
taxi__7_cnt_6m,2019-03-01,2019-04-01,inf,
taxi__7_cnt_1m,2019-03-01,2019-04-01,inf,
taxi__6_cnt_6m,2019-03-01,2019-04-01,0.0,
taxi__6_cnt_1m,2019-03-01,2019-04-01,0.0,
taxi__41_cnt_6m,2019-03-01,2019-04-01,inf,
taxi__41_cnt_1m,2019-03-01,2019-04-01,inf,
taxi__41_amount_sum_6m,2019-03-01,2019-04-01,inf,
taxi__41_amount_sum_1m,2019-03-01,2019-04-01,0.0,
taxi__41_amount_cnt_6m,2019-03-01,2019-04-01,inf,
taxi__41_amount_cnt_1m,2019-03-01,2019-04-01,inf,
taxi__1_cnt_6m,2019-03-01,2019-04-01,inf,
taxi__1_cnt_1m,2019-03-01,2019-04-01,inf,
takeoutfood__87_cnt_6m,2019-03-01,2019-04-01,inf,
takeoutfood__87_cnt_1m,2019-03-01,2019-04-01,inf,
takeoutfood__86_cnt_6m,2019-03-01,2019-04-01,inf,
takeoutfood__86_cnt_1m,2019-03-01,2019-04-01,inf,
takeoutfood__7_cnt_6m,2019-03-01,2019-04-01,inf,
takeoutfood__7_cnt_1m,2019-03-01,2019-04-01,inf,
takeoutfood__6_cnt_6m,2019-03-01,2019-04-01,inf,
takeoutfood__6_cnt_1m,2019-03-01,2019-04-01,inf,
takeoutfood__508_cnt_6m,2019-03-01,2019-04-01,inf,
takeoutfood__508_cnt_1m,2019-03-01,2019-04-01,inf,
takeoutfood__508_amount_sum_6m,2019-03-01,2019-04-01,inf,
takeoutfood__508_amount_sum_1m,2019-03-01,2019-04-01,inf,
takeoutfood__508_amount_cnt_6m,2019-03-01,2019-04-01,inf,
takeoutfood__508_amount_cnt_1m,2019-03-01,2019-04-01,inf,
takeoutfood__1_cnt_6m,2019-03-01,2019-04-01,inf,
takeoutfood__1_cnt_1m,2019-03-01,2019-04-01,inf,
she_bao__1_cnt_1m,2019-03-01,2019-04-01,inf,
she_bao__17_cnt_1m,2019-03-01,2019-04-01,inf,
