num,unique_num,loan_properties,table_name,dt
2428708,1545163,3,gdl_jrs_msg_parse,2019-05-24
8726368,6232365,4,gdl_jrs_msg_parse,2019-05-24
1675535,1257221,2,gdl_jrs_msg_parse,2019-05-24
29955183,18333475,0,gdl_jrs_msg_parse,2019-05-24
86666,82975,1,gdl_jrs_msg_parse,2019-05-25
2142517,1425183,3,gdl_jrs_msg_parse,2019-05-25
6466997,4968568,4,gdl_jrs_msg_parse,2019-05-25
1008738,739413,2,gdl_jrs_msg_parse,2019-05-25
26612740,16646072,0,gdl_jrs_msg_parse,2019-05-25
71513,66647,1,gdl_jrs_msg_parse,2019-05-26
2306216,1541673,3,gdl_jrs_msg_parse,2019-05-26
7149889,5436669,4,gdl_jrs_msg_parse,2019-05-26
1047579,764367,2,gdl_jrs_msg_parse,2019-05-26
23493308,14100315,0,gdl_jrs_msg_parse,2019-05-26
1109259,1075723,1,gdl_jrs_msg_parse,2019-05-27
2409531,1537943,3,gdl_jrs_msg_parse,2019-05-27
9482440,7306296,4,gdl_jrs_msg_parse,2019-05-27
1495345,1114548,2,gdl_jrs_msg_parse,2019-05-27
27245248,17236484,0,gdl_jrs_msg_parse,2019-05-27
471546,459842,1,gdl_jrs_msg_parse,2019-05-28
2328015,1465778,3,gdl_jrs_msg_parse,2019-05-28
10834931,8671092,4,gdl_jrs_msg_parse,2019-05-28
2201936,1712907,2,gdl_jrs_msg_parse,2019-05-28
26986421,16573473,0,gdl_jrs_msg_parse,2019-05-28
435684,420179,1,gdl_jrs_msg_parse,2019-05-30
1931556,1159534,3,gdl_jrs_msg_parse,2019-05-30
5879554,4597403,4,gdl_jrs_msg_parse,2019-05-30
1713745,1380717,2,gdl_jrs_msg_parse,2019-05-30
27102412,17785805,0,gdl_jrs_msg_parse,2019-05-30
65560,61469,1,gdl_jrs_msg_parse,2019-06-01
2296766,1615572,3,gdl_jrs_msg_parse,2019-06-01
5824961,4488845,4,gdl_jrs_msg_parse,2019-06-01
1823181,1413469,2,gdl_jrs_msg_parse,2019-06-01
22942062,14315461,0,gdl_jrs_msg_parse,2019-06-01
75281,70508,1,gdl_jrs_msg_parse,2019-06-02
2161066,1443253,3,gdl_jrs_msg_parse,2019-06-02
4834085,3391243,4,gdl_jrs_msg_parse,2019-06-02
1919253,1531030,2,gdl_jrs_msg_parse,2019-06-02
19873473,11816369,0,gdl_jrs_msg_parse,2019-06-02
514516,504588,1,gdl_jrs_msg_parse,2019-06-03
2237046,1453555,3,gdl_jrs_msg_parse,2019-06-03
5834164,4095306,4,gdl_jrs_msg_parse,2019-06-03
2109406,1628172,2,gdl_jrs_msg_parse,2019-06-03
26511683,16714049,0,gdl_jrs_msg_parse,2019-06-03
425593,413464,1,gdl_jrs_msg_parse,2019-06-04
2223334,1501187,3,gdl_jrs_msg_parse,2019-06-04
10038855,8277346,4,gdl_jrs_msg_parse,2019-06-04
2289590,1796452,2,gdl_jrs_msg_parse,2019-06-04
25852550,16245482,0,gdl_jrs_msg_parse,2019-06-04
423518,411910,1,gdl_jrs_msg_parse,2019-06-05
2278624,1513291,3,gdl_jrs_msg_parse,2019-06-05
8118409,6213733,4,gdl_jrs_msg_parse,2019-06-05
3059598,2450670,2,gdl_jrs_msg_parse,2019-06-05
30040503,19503057,0,gdl_jrs_msg_parse,2019-06-05
668670,620619,1,gdl_jrs_msg_parse,2019-06-06
2411862,1565342,3,gdl_jrs_msg_parse,2019-06-06
10458445,8505331,4,gdl_jrs_msg_parse,2019-06-06
3365524,2879083,2,gdl_jrs_msg_parse,2019-06-06
33959778,23056253,0,gdl_jrs_msg_parse,2019-06-06
59898,55002,1,gdl_jrs_msg_parse,2019-06-07
2246340,1468608,3,gdl_jrs_msg_parse,2019-06-07
5951257,4553029,4,gdl_jrs_msg_parse,2019-06-07
